web-scraper-order,web-scraper-start-url,name,season,team,position,games_played,goals,assists,points,plus_minus,pim,points_per_gp,ppg,ppp,shg,shp,gwg,otg,shots,shot_perc,toi_gp,shifts_gp,fow_perc
"1573423104-7707","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Mike Corrigan","1967-68","LAK","L","5","0","0","0","-2","2","--","0","0","0","0","0","0","5","0.0","","--","--"
"1573423104-4017","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ken Mosdell","1951-52","MTL","C","44","5","11","16","","19","0.36","0","1","1","1","0","0","","--","","--","--"
"1573423104-1051","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Billy Reay","1949-50","MTL","C","68","19","26","45","","48","0.66","6","13","0","0","3","0","","--","","--","--"
"1573423104-1521","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bruce MacGregor","1967-68","DET","C","71","15","24","39","-19","13","0.55","1","6","0","0","0","0","165","9.1","","--","--"
"1573423104-1154","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Eddie Shack","1965-66","TOR","L","63","26","17","43","11","88","0.68","2","6","0","0","6","0","179","14.5","","--","--"
"1573423104-77","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Andy Bathgate","1962-63","NYR","R","70","35","46","81","-5","54","1.16","5","23","0","0","2","0","268","13.1","","--","--"
"1573423104-7235","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Larry Kwong","1947-48","NYR","R","1","0","0","0","","0","--","0","0","0","0","0","0","","--","","--","--"
"1573423104-3009","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Andre Pronovost","1961-62","BOS","L","70","15","8","23","-33","74","0.33","2","2","0","0","1","0","131","11.5","","--","--"
"1573423104-5532","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Marc Reaume","1958-59","TOR","D","51","1","5","6","","67","0.12","0","0","0","1","1","0","","--","","--","--"
"1573423104-2518","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Jim Pappin","1967-68","TOR","R","58","13","15","28","0","37","0.48","2","9","0","0","1","0","117","11.1","","--","--"
