web-scraper-order,web-scraper-start-url,player,season,team,position,games_played,goals,assists,points,plus_minus,pim,points_gp,ppg,ppp,shg,shp,gwg,otg,shots,shot_perc,toi_gp,shifts_gp,fow_perc
"1571430269-12705","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Joe Papike","1944-45","CHI","R","2","0","1","1","","2","0.50","0","0","0","0","0","0","","--","","--","--"
"1571430269-13270","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bob Beckett","1957-58","BOS","C","9","0","0","0","","2","--","0","0","0","0","0","0","","--","","--","--"
"1571430269-6728","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Don McKenney","1960-61","BOS","C","68","26","23","49","-22","20","0.72","4","10","1","1","2","0","165","15.8","","--","--"
"1571430269-10246","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bob Goldham","1951-52","DET","D","69","0","14","14","","24","0.20","0","3","0","0","0","0","","--","","--","--"
"1571430269-11402","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Eddie Mazur","1954-55","MTL","D","25","1","5","6","","21","0.24","0","0","0","0","0","0","","--","","--","--"
"1571430269-10522","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Pete Goegan","1958-59","DET","D","67","1","11","12","","109","0.18","0","3","0","0","0","0","","--","","--","--"
"1571430269-11476","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Benny Woit","1954-55","DET","R","62","2","3","5","","22","0.08","0","0","0","0","0","0","","--","","--","--"
"1571430269-9115","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Dale Rolfe","1968-69","LAK","D","75","3","19","22","-24","85","0.29","0","2","0","1","0","0","151","2.0","","--","--"
"1571430269-11410","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Gerry Plamondon","1949-50","MTL","L","37","1","5","6","","0","0.16","0","2","0","0","1","0","","--","","--","--"
"1571430269-12169","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Sherman White","1949-50","NYR","C","3","0","2","2","","0","0.67","0","1","0","0","0","0","","--","","--","--"
"1571430269-13550","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Brian Kilrea","1957-58","DET","C","1","0","0","0","","0","--","0","0","0","0","0","0","","--","","--","--"
"1571430269-6344","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Fleming MacKell","1957-58","BOS","C","70","20","40","60","","72","0.86","6","12","3","10","2","0","","--","","--","--"
"1571430269-7208","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bruce MacGregor","1964-65","DET","C","66","21","20","41","12","19","0.62","3","5","1","1","4","0","119","17.6","","--","--"
"1571430269-10225","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Matt Ravlich","1968-69","CHI","D","60","2","12","14","15","57","0.23","0","0","0","1","0","0","74","2.7","","--","--"
"1571430269-9584","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ab McDonald","1964-65","BOS","L","60","9","9","18","-28","6","0.30","2","2","0","0","3","0","104","8.6","","--","--"
"1571430269-10334","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Wally Stanowski","1945-46","TOR","D","45","3","10","13","","10","0.29","0","1","0","0","0","0","","--","","--","--"
"1571430269-13461","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Willie Marshall","1952-53","TOR","C","2","0","0","0","","0","--","0","0","0","0","0","0","","--","","--","--"
"1571430269-11949","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Noel Price","1966-67","MTL","D","24","0","3","3","1","8","0.13","0","0","0","0","0","0","18","0.0","","--","--"
"1571430269-11414","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Rudy Migay","1949-50","TOR","C","18","1","5","6","","8","0.33","0","0","0","0","0","0","","--","","--","--"
"1571430269-8888","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Noel Picard","1968-69","STL","D","68","5","19","24","18","129","0.35","0","5","0","1","1","0","136","3.7","","--","--"
"1571430269-11818","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Lowell MacDonald","1962-63","DET","L","26","2","1","3","-12","6","0.12","0","0","0","0","0","0","41","4.9","","--","--"
"1571430269-8845","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Neil Strain","1952-53","NYR","L","52","11","13","24","","12","0.46","1","4","0","0","1","0","","--","","--","--"
"1571430269-6899","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Red Kelly","1964-65","TOR","D","70","18","28","46","6","8","0.66","6","16","1","1","1","0","182","9.9","","--","--"
