web-scraper-order,web-scraper-start-url,team,season,games_played,wins,losses,ties,overtime,points,row,p_perc,goals_for,goals_against,shoot_out_wins,goalsf_per_gp,goalsa_per_gp,powerplay_perc,penalty_kill_perc,shots_per_gp,shots_against_per_gp,fow_perc
"1571322799-1034","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Nashville Predators","2001-02","82","28","41","13","0","69","0",".421","196","230","0","2.39","2.80","14.2","85.9","24.6","28.2","46.9"
"1571322799-986","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Carolina Hurricanes","2014-15","82","30","41","0","11","71","25",".433","183","219","5","2.23","2.67","18.8","84.7","30.8","27.3","53.0"
"1571322799-390","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Boston Bruins","1987-88","80","44","30","6","","94","0",".588","300","251","0","3.75","3.14","16.6","83.5","32.4","27.2","0.0"
"1571322799-283","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","San Jose Sharks","2005-06","82","44","27","0","11","99","43",".604","265","235","1","3.23","2.87","18.2","80.7","30.3","26.6","48.4"
"1571322799-1509","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Montréal Canadiens","1935-36","48","11","26","11","","33","0",".344","82","123","0","1.71","2.56","--","--","--","--","--"
"1571322799-1242","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Toronto Maple Leafs","1985-86","80","25","48","7","","57","0",".356","311","386","0","3.89","4.83","18.3","77.3","31.3","34.7","--"
"1571322799-357","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Washington Capitals","2000-01","82","41","27","10","4","96","0",".585","233","211","0","2.84","2.57","21.2","84.1","28.6","27.7","55.2"
"1571322799-604","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Minnesota Wild","2010-11","82","39","35","0","8","86","36",".524","203","228","3","2.48","2.78","18.1","82.8","26.2","32.0","50.7"
"1571322799-721","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Toronto Maple Leafs","1962-63","70","35","23","12","","82","0",".586","221","180","0","3.16","2.57","--","--","33.4","28.0","--"
"1571322799-49","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Montréal Canadiens","1974-75","80","47","14","19","","113","0",".706","374","225","0","4.67","2.81","--","--","31.9","28.4","--"
"1571322799-6","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Montréal Canadiens","1975-76","80","58","11","11","","127","0",".794","337","174","0","4.21","2.17","--","--","34.2","27.4","--"
"1571322799-1323","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Quebec Nordiques","1991-92","80","20","48","12","","52","0",".325","255","318","0","3.19","3.98","17.1","79.3","27.3","31.8","0.0"
"1571322799-1258","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","New York Rangers","1926-27","44","25","13","6","","56","0",".636","95","72","0","2.16","1.64","--","--","--","--","--"
"1571322799-1143","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Los Angeles Kings","1981-82","80","24","41","15","","63","0",".394","314","369","0","3.92","4.61","21.2","71.7","32.0","30.6","--"
"1571322799-383","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Anaheim Ducks","2002-03","82","40","27","9","6","95","0",".579","203","193","0","2.48","2.35","16.1","87.4","27.4","29.0","55.2"
"1571322799-106","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Calgary Flames","2018-19","82","50","25","0","7","107","50",".652","289","223","0","3.52","2.72","19.3","79.7","32.4","28.1","52.4"
"1571322799-541","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Philadelphia Flyers","2009-10","82","41","35","0","6","88","37",".537","232","222","4","2.83","2.71","21.4","83.0","31.6","28.6","50.1"
"1571322799-426","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Hartford Whalers","1986-87","80","43","30","7","","93","0",".581","287","270","0","3.59","3.38","20.8","78.7","30.1","28.0","--"
"1571322799-167","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Montréal Canadiens","2007-08","82","47","25","0","10","104","42",".634","257","216","5","3.13","2.63","24.1","82.5","29.1","31.6","49.0"
"1571322799-782","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Chicago Blackhawks","1967-68","74","32","26","16","","80","0",".541","212","222","0","2.86","3.00","--","--","30.0","31.1","--"
"1571322799-1356","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","New York Rangers","1935-36","48","19","17","12","","50","0",".521","91","96","0","1.90","2.00","--","--","--","--","--"
"1571322799-890","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Los Angeles Kings","1989-90","80","34","39","7","","75","0",".469","338","337","0","4.22","4.21","22.1","75.9","29.6","31.0","0.0"
"1571322799-123","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Minnesota Wild","2016-17","82","49","25","0","8","106","46",".646","263","206","3","3.21","2.51","21.0","82.9","30.8","30.1","51.9"
