web-scraper-order,web-scraper-start-url,name,season,team,position,games_played,goals,assists,points,plus_minus,pim,points_per_gp,ppg,ppp,shg,shp,gwg,otg,shots,shot_perc,toi_gp,shifts_gp,fow_perc
"1573446540-32972","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19911992&seasonTo=19971998&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Brian Noonan","1993-94","CHI, NYR","R","76","18","23","41","7","69","0.54","10","19","0","0","6","0","160","11.3","","--","--"
"1573446540-35304","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19911992&seasonTo=19971998&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Yves Racine","1995-96","MTL, SJS","D","57","1","19","20","-10","54","0.35","0","7","0","0","0","0","51","2.0","","--","--"
"1573446540-36284","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19911992&seasonTo=19971998&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Darryl Shannon","1994-95","WIN","D","40","5","9","14","1","48","0.35","0","0","1","2","0","0","42","11.9","","--","--"
"1573446540-35232","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19911992&seasonTo=19971998&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Petr Nedved","1993-94","STL","C","19","6","14","20","2","8","1.05","2","7","0","0","0","0","63","9.5","","--","--"
"1573446540-40499","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19911992&seasonTo=19971998&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Aaron Miller","1993-94","QUE","D","1","0","0","0","-1","0","--","0","0","0","0","0","0","0","0.0","","--","--"
"1573446540-38811","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19911992&seasonTo=19971998&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Gilbert Dionne","1995-96","PHI, FLA","L","7","1","3","4","0","0","0.57","0","0","0","0","0","0","12","8.3","","--","--"
"1573446540-39093","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19911992&seasonTo=19971998&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Claude Boivin","1993-94","PHI, OTT","L","41","2","1","3","-17","95","0.07","0","0","0","0","0","0","17","11.8","","--","--"
"1573446540-40109","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19911992&seasonTo=19971998&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ken Daneyko","1997-98","NJD","D","37","0","1","1","3","57","0.03","0","0","0","0","0","0","18","0.0","16:09","19.8","0.0"
"1573446540-34350","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19911992&seasonTo=19971998&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Matt Cullen","1997-98","ANA","C","61","6","21","27","-4","23","0.44","2","6","0","0","0","0","75","8.0","14:15","18.8","45.6"
"1573446540-37151","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19911992&seasonTo=19971998&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Lyle Odelein","1994-95","MTL","D","48","3","7","10","-13","152","0.21","0","2","0","0","0","0","74","4.0","","--","--"
"1573446540-39135","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19911992&seasonTo=19971998&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Jason York","1993-94","DET","D","7","1","2","3","0","2","0.43","0","2","0","0","0","0","9","11.1","","--","--"
"1573446540-37526","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19911992&seasonTo=19971998&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Gilbert Dionne","1994-95","MTL, PHI","L","26","0","9","9","-4","4","0.35","0","2","0","0","0","0","33","0.0","","--","--"
"1573446540-35881","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19911992&seasonTo=19971998&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Denis Chasse","1994-95","STL","R","47","7","9","16","12","133","0.34","1","1","0","0","0","0","48","14.6","","--","--"
"1573446540-38736","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19911992&seasonTo=19971998&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Iain Fraser","1992-93","NYI","C","7","2","2","4","-1","2","0.57","1","2","0","0","0","0","7","28.6","","--","--"
"1573446540-34790","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19911992&seasonTo=19971998&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Kevin Todd","1992-93","NJD, EDM","C","55","9","14","23","-9","26","0.42","0","4","0","0","3","0","87","10.3","","--","--"
