web-scraper-order,web-scraper-start-url,name,season,team,position,games_played,goals,assists,points,plus_minus,pim,points_per_gp,ppg,ppp,shg,shp,gwg,otg,shots,shot_perc,toi_gp,shifts_gp,fow_perc
"1571428408-4761","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Jim O'Neil","1936-37","BOS","C","21","0","2","2","","6","0.10","0","1","0","0","0","0","","--","","--","--"
"1571428408-1648","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Danny Cox","1928-29","TOR","L","42","12","8","20","","14","0.48","","","","","2","0","","--","","--","--"
"1571428408-960","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bill Carse","1941-42","CHI","C","43","13","14","27","","16","0.63","1","2","0","0","2","0","","--","","--","--"
"1571428408-2318","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Hooley Smith","1939-40","NYA","C","48","7","8","15","","51","0.31","0","0","0","0","0","0","","--","","--","--"
"1571428408-5109","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Jim O'Neil","1941-42","MTL","C","4","0","1","1","","4","0.25","0","0","0","0","0","0","","--","","--","--"
"1571428408-4333","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ed Carpenter","1920-21","HAM","D","21","2","1","3","","17","0.14","","","","","0","0","","--","","--","--"
"1571428408-492","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Clint Smith","1941-42","NYR","C","47","10","25","35","","4","0.74","0","4","0","0","3","0","","--","","--","--"
"1571428408-5535","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Dunc Munro","1928-29","MMR","D","1","0","0","0","","0","--","","","","","0","0","","--","","--","--"
"1571428408-3457","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Alex Levinsky","1936-37","CHI","D","48","0","8","8","","32","0.17","0","0","0","0","0","0","","--","","--","--"
"1571428408-2556","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Joffre Desilets","1935-36","MTL","R","38","7","6","13","","0","0.34","1","1","0","0","1","0","","--","","--","--"
